OTU	Occurrence	Reference
Floweria_anomala	Givetian	Rode_2005
Floweria_arctostriata	Givetian	Rode_2005
Floweria_becraftensis	Pragian	Menning_etal_2006
Floweria_chemungensis	Givetian	PBDB_Rode_entered
Floweria_chemungensis	Frasnian	PBDB_Rode_entered
Floweria_chemungensis	Famennian	PBDB_Rode_entered
Floweria_cornucopia	Givetian	Rode_2005
Floweria_crassa	Givetian	Rode_2005
Floweria_deformis	Emsian	Rode_2005
Floweria_iowensis	Frasnian	Rode_2005
Floweria_lirella	Givetian	Rode_2005
Floweria_magnacicatrix	Frasnian	Rode_2005
Floweria_pandora	Emsian	Rode_2005
Floweria_perversa	Emsian	Rode_2005_Menning_etal_2006
Floweria_perversa	Givetian	Rode_2005_Menning_etal_2006
Floweria_prava	Frasnian	Rode_2005
Floweria_transversalis	Frasnian	Rode_2005
Schuchertella_lens	Famennian	Rode_2005
Schuchertella_percha	Famennian	Rode_2005
Xystostrophia_woolworthana	Lochkovian	PBDB
Xystostrophia_umbraculum	Eifelian	PBDB
Xystostrophia_umbraculum	Givetian	PBDB
Xystostrophia_umbraculum	Frasnian	PBDB
Xystostrophia_umbraculum	Famennian	PBDB
