"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Crinoidea&interval=ordovician,devonian"
"Access Time","Wed 2018-03-07 13:59:17 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Crinoidea"
"","interval","ordovician,devonian"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.412"
"Records Found","5491"
"Records Returned","5491"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"2620","occ","","","289","Crinoidea ? indet.","class","31590","","Crinoidea","class","31590","Stairsian","","485.4","478.6","34760"
"2654","occ","","","292","Crinoidea ? indet.","class","31590","","Crinoidea","class","31590","Canadian","","485.4","468.1","15204"
"2714","occ","","","296","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Darriwilian","","467.3","458.4","61151"
"2885","occ","","","306","Crinoidea ? indet.","class","31590","","Crinoidea","class","31590","Chazyan","","468.1","460.9","60917"
"2920","occ","","","308","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Chazyan","","468.1","460.9","44678"
"2978","occ","","","310","Crinoidea ? indet.","class","31590","","Crinoidea","class","31590","Chazyan","","468.1","460.9","60945"
"3021","occ","","","311","Palaeocrinus sp.","genus","32291","","Palaeocrinus","genus","32291","Chazyan","","468.1","460.9","60944"
"3190","occ","","","319","Apodasmocrinus sp.","genus","31884","","Apodasmocrinus","genus","31884","Middle Ordovician","","470","458.4","42189"
"3191","occ","","","319","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Middle Ordovician","","470","458.4","42189"
"3236","occ","","","320","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Caradoc","","460.9","449.5","60936"
"3275","occ","","","323","Crinoidea ? indet.","class","31590","","Crinoidea","class","31590","Blackriveran","","460.9","449.5","60987"
"3310","occ","","","325","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Blackriveran","","460.9","449.5","60987"
"3416","occ","","","329","Crinoidea ? indet.","class","31590","","Crinoidea","class","31590","Middle Ordovician","","470","458.4","61485"
"3418","occ","","","330","Lichenocrinus sp.","genus","103248","","Lichenocrinus","genus","103248","Trentonian","","460.9","449.5","21939"
"3507","occ","","","332","Schizocrinus sp.","genus","31843","","Schizocrinus","genus","31843","Ordovician","","485.4","443.4","25788"
"3555","occ","","","333","Glyptocrinus sp.","genus","31771","","Glyptocrinus","genus","31771","Middle Ordovician","","470","458.4","61112"
"3556","occ","","","333","Schizocrinus sp.","genus","31843","","Schizocrinus","genus","31843","Middle Ordovician","","470","458.4","61112"
"3576","occ","","","333","Cincinnaticrinus sp.","genus","31902","","Cincinnaticrinus","genus","31902","Middle Ordovician","","470","458.4","61112"
"3577","occ","","","333","Dendrocrinus sp.","genus","32134","","Dendrocrinus","genus","32134","Middle Ordovician","","470","458.4","61112"
"3578","occ","","","333","Iocrinus sp.","genus","31940","","Iocrinus","genus","31940","Middle Ordovician","","470","458.4","61112"
"3579","occ","","","333","Reteocrinus sp.","genus","31657","","Reteocrinus","genus","31657","Middle Ordovician","","470","458.4","61112"
"3612","occ","","","334","Cupulocrinus sp.","genus","32124","","Cupulocrinus","genus","32124","Middle Ordovician","","470","458.4","61112"
"3613","occ","","","334","Dendrocrinus sp.","genus","32134","","Dendrocrinus","genus","32134","Middle Ordovician","","470","458.4","61112"
"3614","occ","","","334","Ectenocrinus sp.","genus","31918","","Ectenocrinus","genus","31918","Middle Ordovician","","470","458.4","61112"
"3615","occ","","","334","Glyptocrinus sp.","genus","31771","","Glyptocrinus","genus","31771","Middle Ordovician","","470","458.4","61112"
"3616","occ","","","334","Heterocrinus sp.","genus","31934","","Heterocrinus","genus","31934","Middle Ordovician","","470","458.4","61112"
"3635","occ","","","334","Cincinnaticrinus sp.","genus","31902","","Cincinnaticrinus","genus","31902","Middle Ordovician","","470","458.4","61112"
"3636","occ","","","334","Iocrinus sp.","genus","31940","","Iocrinus","genus","31940","Middle Ordovician","","470","458.4","61112"
"3637","occ","","","334","Merocrinus sp.","genus","32248","","Merocrinus","genus","32248","Middle Ordovician","","470","458.4","61112"
